Codice Analisi,Descrizione,Colore provetta,Synlab si/no,U.M.,METODO,Regola,,Importo
8732,BCR-ABL1 t(9;22) - Analisi quantitativa p210 - prevede allegato,4 VIOLA O 1 SANGUE MIDOLLARE T. AMB,SÍ,manca sul portale,REAL TIME PCR,Area 'BIOLOGIA MOLECOLARE',,"€ 491,40"
99009,BCR-ABL1: t(9;22) - Analisi qualitativa (Cromosoma Philadelphia) - prevede allegato,4 VIOLA O 1 SANGUE MIDOLLARE T. AMB,SÍ,manca sul portale,REAL TIME PCR,Area 'BIOLOGIA MOLECOLARE',,"€ 224,41"
1512,BDNF (Brain Derived Neurotrophic Factor),non c'è su vademecum,,,,Area 'SPECIALISTICA',,"€ 78,74"
6W17,Belvedere granata (Kochia scoparia),GIALLA,SÍ,kU/L,CHEMILUMINESCENZA,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
Codice Analisi,Descrizione,,,,,Regola,,Importo
7660,Benzene Urine Fine Turno,URINE F.T.,SÍ,µg/L,GC,Area 'TOSSICOLOGIA',,"€ 16,49"
766,Benzene Urine Inizio Turno,URINE I.T.,SÍ,µg/L,GC,Area 'TOSSICOLOGIA',,"€ 16,49"
1567,Benzodiazepine matrice pilifera -valenza medico legale,CAPELLI,SÍ,ng/mg,LC-MS-MS,Area 'TOSSICOLOGIA',,"€ 141,96"
,7-Amminoflunitrazepam,,,,,,,
,Alprazolam,,,,,,,
,Bromazepam,,,,,,,
,Diazepam,,,,,,,
,Flunitrazepam,,,,,,,
,Lorazepam,,,,,,,
,Nordazepam,,,,,,,
,Oxazepam,,,,,,,
66918,BENZODIAZEPINE Sieriche (TEST DI SCREENING),GIALLA,SÍ,mg/L,EMIT,Area 'TOSSICOLOGIA',,"€ 10,70"
1566,Benzodiazepine su urine test di conferma,URINE,SÍ,ng/mL,,Area 'TOSSICOLOGIA',,"€ 120,12"
,7-Amminoflunitrazepam (numerico),,,,,,,
,Alfa-idrossialprazolam (Numerico),,,,,,,
,Bromazepam (Numerico),,,,,,,
,Lorazepam (numerico),,,,,,,
,Nordazepam (numerico),,,,,,,
,Oxazepam (numerico),,,,,,,
6691,Benzodiazepine test di screening su urine -valenza medico legale,URINE,SÍ,/,EMIT,Area 'TOSSICOLOGIA',,"€ 13,22"
5F354,Ber e1 Bertholletia excelsa,GIALLA,SÍ,kUA/L,IMMUNOCAP,Area 'ALLERGIE E INTOLLERANZE',,"€ 48,05"
1448,BERILLIO Urine Fine Turno,URINE F.T.,SÍ,µg/L,ICP-MS,Area 'TOSSICOLOGIA',,"€ 10,70"
1449,BERILLIO Urine Inizio Turno,URINE I.T.,SÍ,µg/L,ICP-MS,Area 'TOSSICOLOGIA',,"€ 10,70"
5T215,Bet v1 Betulla verrucosa,GIALLA,SÍ,kUA/L,IMMUNOCAP,Area 'ALLERGIE E INTOLLERANZE',,"€ 48,05"
5T216,Bet v2 Betula verrucosa,GIALLA,SÍ,kUA/L,IMMUNOCAP,Area 'ALLERGIE E INTOLLERANZE',,"€ 48,05"
6F77,Beta Latto-globulina,GIALLA,SÍ,kU/L,CHEMILUMINESCENZA,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
6T3,Betulla (Betula nigra),GIALLA,SÍ,kU/L,CHEMILUMINESCENZA,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
2400,Bicarbonati,VERDE,SÍ,mmol/L,ENZIMATICO,Area 'ANALISI',,"€ 0,33"
281,Bilirubinemia Frazionata,ROSSA,NO,mg/dL,JENDRASSIK GROF,Area 'ANALISI',,"€ 1,75"
280,Bilirubinemia Totale,ROSSA,NO,mg/dL,JENDRASSIK GROF,Area 'ANALISI',,"€ 1,75"
1412,Bilirubinemia Totale reflex,ROSSA,NO,mg/dL,JENDRASSIK GROF,Area 'ANALISI',,"€ 2,18"
4210,Bismuto (SYNLAB),VERDE,SÍ,µg/L,ICP-MS,Area 'SPECIALISTICA GRUPPO',,"€ 55,26"
8951,BITEST (Screening biochimico nel I trimestre di gravidanza),GIALLA CONG.,SÍ,/,IF-TRACE,Area 'SCREENING PRENATALE',,"€ 84,42"
IN10015,BOCCA - BIOPSIA CAVO ORALE,FISSATO IN FORMALINA,SÍ,/,INCLUSIONE IN PARAFFINA E COLORAZIONE CON E-E,Area 'ANATOMIA PATOLOGICA',,"€ 51,06"
IN10016,BOCCA - BIOPSIA CAVO ORALE ESCISSIONE/NEOFORMAZIONE,FISSATO IN FORMALINA,SÍ,/,INCLUSIONE IN PARAFFINA E COLORAZIONE CON E-E,Area 'ANATOMIA PATOLOGICA',,"€ 65,20"
IN10093,BOCCA - BIOPSIA LINGUA,FISSATO IN FORMALINA,SÍ,/,INCLUSIONE IN PARAFFINA E COLORAZIONE CON E-E,Area 'ANATOMIA PATOLOGICA',,"€ 53,82"
IN10017,BOCCA - EMIGLOSSECTOMIA,FISSATO IN FORMALINA,SÍ,/,INCLUSIONE IN PARAFFINA E COLORAZIONE CON E-E,Area 'ANATOMIA PATOLOGICA',,"€ 166,42"
IN10094,BOCCA - RESEZIONE CUNEIFORME LINGUA,FISSATO IN FORMALINA,SÍ,/,INCLUSIONE IN PARAFFINA E COLORAZIONE CON E-E,Area 'ANATOMIA PATOLOGICA',,"€ 76,35"
2269,BORDETELLA ANTICORPI IgG e IgM REFLEX,GIALLA,SÍ,NTU,ELISA,Area 'ANALISI',,"€ 21,00"
,ANTICORPI ANTI-PERTOSSE IgG,,,,,,,
,ANTICORPI ANTI-PERTOSSE IgM,,,,,,,
,BORDETELLA IgG,GIALLA,NO,,ELISA,,,
1548,BORRELIA BURGDOFERI DNA,LIQUOR CONG. - VIOLA - SIERO CONG. - URINE CONG. - VIOLA CONG.,SÍ,manca sul portale,REAL TIME PCR,Area 'BIOLOGIA MOLECOLARE',,"€ 98,28"
2285,BORRELIA BURGDORFERI ANTICORPI  IgG e IgM,GIALLA,SÍ,,CHEMILUMINESCENZA,Area 'ANALISI',,"€ 21,00"
,Borrelia Abs IgG,,,kUA/L,,,,
,Borrelia Abs IgM,,,Index,,,,
1194,BORRELIA IgG TEST DI CONFERMA,GIALLA,SÍ,manca sul portale,IMMUNOBLOTTING,Area 'SPECIALISTICA',,"€ 52,85"
1193,BORRELIA IgM TEST DI CONFERMA,GIALLA,SÍ,manca sul portale,IMMUNOBLOTTING,Area 'SPECIALISTICA',,"€ 52,85"
5F76,"Bos d4, Alfa-lattoalbumina Bos domesticus",GIALLA,SÍ,kUA/L,IMMUNOCAP,Area 'ALLERGIE E INTOLLERANZE',,"€ 48,05"
5F77,"Bos d5, Beta-lattoglobulina Bos domesticus",GIALLA,SÍ,kUA/L,IMMUNOCAP,Area 'ALLERGIE E INTOLLERANZE',,"€ 48,05"
5E+204,Bos d6 Bos spp.,non c'è su vademecum,,,,Area 'ALLERGIE E INTOLLERANZE',,"€ 48,05"
5F78,"Bos d8, Caseina Bos domesticus",GIALLA,SÍ,kUA/L,IMMUNOCAP,Area 'ALLERGIE E INTOLLERANZE',,"€ 48,05"
6M7,Botrytis Cinerea,GIALLA,SÍ,kU/L,IMMUNOCAP,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
2033,"BRCA PLUS – Pannello di predisposizione genetica al tumore al seno, ovaio, pancreas e prostata - prevede allegato",VIOLA,SÍ,/,SEQUENZIAMENTO MEDIANTE NEXT GENERATION SEQUENCING (NGS),Area 'BIOLOGIA MOLECOLARE',,"€ 2.116,30"
2081,"
BRCA1 e 2 REFLEX : ricerca di mutazioni e microriarrangiamenti - prevede allegato",VIOLA,SÍ,/,SEQUENZIAMENTO MEDIANTE NEXT GENERATION SEQUENCING (NGS),Area 'BIOLOGIA MOLECOLARE',,"€ 2.116,30"
2239,BREATH TEST LATTOSIO (Lettura),ESPIRATO RACCOLTO IN APPOSITE PROVETTE,SÍ,,SPETTROMETRIA DI MASSA,Area 'BREATHTEST',,"€ 33,75"
,Tempo 0,,,per mille,,,,
,Tempo 90,,,per mille,,,,
,Recupero percentuale,,,%,,,,
1488,Breath Test urea C13 (lettura),ESPIRATO RACCOLTO IN APPOSITE PROVETTE,,,SPETTROMETRIA DI MASSA,Area 'BREATHTEST',,"€ 8,95"
,Tempo 0,,,per mille,,,,
,Tempo 90,,,per mille,,,,
,Recupero percentuale,,,%,,,,
6F260,Broccolo,GIALLA,SÍ,kU/L,CHEMILUMINESCENZA,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
1594,Bromazepam,GIALLA,SÍ,µg/L,HPLC,Area 'ANALISI',,"€ 50,67"
6K202,Bromelina,GIALLA,SÍ,kU/L,CHEMILUMINESCENZA,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
405,Bromuro sierico (SYNLAB),GIALLA,SÍ,mg/L,SPETTROFOTOMETRIA,Area 'SPECIALISTICA GRUPPO',,"€ 44,12"
IN10284,BRONCO - ASBESTO E SIDEROCITI SINGOLO CAMPIONE,FISSATO IN ALCOOL 70°/95°,SÍ,/,COLORAZIONE CON PAPANICOLAU + PERLS,Area 'ANATOMIA PATOLOGICA',,"€ 21,40"
IN10018,BRONCO - BIOPSIA TRANSBRONCHIALE,FISSATO IN FORMALINA,SÍ,/,INCLUSIONE IN PARAFFINA E COLORAZIONE CON E-E,Area 'ANATOMIA PATOLOGICA',,"€ 88,28"
IN10019,BRONCO - ESPETTORATO SINGOLO CAMPIONE,FISSATO IN ALCOOL 70°/95°,SÍ,/,INCLUSIONE IN PARAFFINA COLORAZIONE CON PAPANICOLAOU,Area 'ANATOMIA PATOLOGICA',,"€ 21,40"
1081,Buprenorfina matrice pilifera,CAPELLI,SÍ,,LC-MS-MS,Area 'TOSSICOLOGIA',,"€ 141,96"
,Buprenorfina,,,ng/mg,,,,
,Norbuprenorfina,,,ng/mg,,,,
848,Buprenorfina matrice urinaria,URINE,SÍ,ng/mL,EMIT,Area 'TOSSICOLOGIA',,"€ 15,07"
6346,Buprenorfina test di conferma su urine,URINE,SÍ,,LC-MS-MS,Area 'TOSSICOLOGIA',,"€ 120,12"
,Buprenorfina,,,ng/mL,,,,
,Norbuprenorfina,,,ng/mL,,,,
1201,C1 inattivatore (esterasi),SÍ,SÍ,mg/L,NEFELOMETRIA,Area 'ANALISI',,"€ 18,02"
1202,C1q (Esterasi),GIALLA,SÍ,mg/L,NEFELOMETRIA,Area 'SPECIALISTICA',,"€ 22,50"
6510,CA 125,GIALLA,SÍ,kU/L,CHEMILUMINESCENZA,Area 'ANALISI',,"€ 14,09"
6512,CA 15-3,GIALLA,NO,U/ml,CLIA,Area 'ANALISI',,"€ 14,09"
6511,CA 19-9 (GICA),GIALLA,SÍ,kU/L,CHEMILUMINESCENZA,Area 'ANALISI',,"€ 14,09"
6518,CA 50,GIALLA,SÍ,kU/L,CHEMILUMINESCENZA,Area 'SPECIALISTICA',,"€ 32,76"
6517,CA 72-4,GIALLA,SÍ,kU/L,CHEMILUMINESCENZA,Area 'ANALISI',,"€ 18,35"
1119,Cabergolina (SYNLAB),GIALLA,SÍ,µg/L,LC-MS,Area 'SPECIALISTICA GRUPPO',,"€ 134,97"
6F93,Cacao,GIALLA,SÍ,kU/L,CHEMILUMINESCENZA,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
6F301,CACO (DIOSPYRUS KAKI),GIALLA,SÍ,kU/L,CHEMILUMINESCENZA,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
7131,Cadmio ematico,VERDE,SÍ,µg/L,ASSORBIMENTO ATOMICO (AA),Area 'TOSSICOLOGIA',,"€ 16,71"
71309,CADMIO Urine Fine Turno (C),URINE F.T.,SÍ,µg/g creatinina,ICP-MS,Area 'TOSSICOLOGIA',,"€ 10,70"
7139,CADMIO Urine Inizio Turno (C),URINE I.T.,SÍ,µg/g creatinina,ICP-MS,Area 'TOSSICOLOGIA',,"€ 10,70"
6F221,Caffe',GIALLA,SÍ,kU/L,CHEMILUMINESCENZA,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
798,Caffeina (SYNLAB),GIALLA,SÍ,mg/L,GASCROMATOGRAFIA,Area 'SPECIALISTICA GRUPPO',,"€ 51,44"
6I75,Calabrone (Vespa crabro),GIALLA,SÍ,kU/L,CHEMILUMINESCENZA,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
6I2,Calabrone bianco (Dolichovespula maculata),GIALLA,SÍ,kU/L,CHEMILUMINESCENZA,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
Codice Analisi,Descrizione,,,,,Regola,,Importo
6I5,Calabrone giallo (Dolichovespula arenaria),GIALLA,SÍ,kU/L,CHEMILUMINESCENZA,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
6F258,Calamaro,GIALLA,SÍ,kU/L,CHEMILUMINESCENZA,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
244,Calcemia ( Ca ),ROSSA,NO,mg/dL,COLORIMETRICO,Area 'ANALISI',,"€ 1,75"
250,Calcio Ionizzato,GIALLA CONG.,SÍ,mmol/L,POTENZIOMETRICO ISE,Area 'ANALISI',,"€ 6,55"
2540,Calcio Urinario su campione estemporaneo,URINE,NO,mg/dL,COLORIMETRICO,Area 'ANALISI',,"€ 1,75"
254,Calcio urine 24 ore ( Ca ),Urine 24 H,NO,mg/24h,COLORIMETRICO,Area 'ANALISI',,"€ 1,75"
6410,Calcitonina,GIALLA,NO,pg/mL,CLIA,Area 'ANALISI',,"€ 15,18"
843,Calprotectina fecale,FECI,SÍ,µg/g,CHEMILUMINESCENZA,Area 'SPECIALISTICA',,"€ 54,93"
B5034,Campylobacter esame colturale,TAMPONE VERDE,SÍ,/,COLTURALE,Area 'MICROBIOLOGIA',,"€ 14,53"
5E+101,Can f1 Canis familiaris,non c'è su vademecum,,,,Area 'ALLERGIE E INTOLLERANZE',,"€ 48,05"
5E+226,Can f5 Canis familiaris,non c'è su vademecum,,,,Area 'ALLERGIE E INTOLLERANZE',,"€ 48,05"
2091,"CANCER PANEL - pannello NGS per la predisposizione al
carcinoma ereditario - prevede allegato",VIOLA,SÍ,/,SEQUENZIAMENTO MEDIANTE NEXT GENERATION SEQUENCING (NGS),Area 'BIOLOGIA MOLECOLARE',,"€ 1.412,61"
6M5,Candida Albicans SU SIERO,GIALLA,SÍ,kU/L,CHEMILUMINESCENZA,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
433,CANDIDOSI ANTIGENE MANNAN (SYNLAB),GIALLA,SÍ,U/ml,EIA,Area 'SPECIALISTICA GRUPPO',,"€ 13,76"
6G7,Canna di palude (Phragmites communis),GIALLA,SÍ,kU/L,CHEMILUMINESCENZA,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
1082,Cannabinoidi matrice pilifera - catena di custodia,CAPELLI ,SÍ,,LC-MS-MS,Area 'TOSSICOLOGIA',,"€ 141,96"
,THC,,,ng/mg,,,,
,THC COOH,,,pg/mg,,,,
667,Cannabinoidi matrice urinaria - catena di custodia,URINE,SÍ,ng/mL,EMIT,Area 'TOSSICOLOGIA',,"€ 13,00"
6347,Cannabinoidi test di conferma su urine,URINE,SÍ,ng/mL,LC-MS-MS,Area 'TOSSICOLOGIA',,"€ 120,12"
6F220,Cannella,GIALLA,SÍ,kU/L,CHEMILUMINESCENZA,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
6F338,Capesanta,GIALLA,SÍ,kU/L,CHEMILUMINESCENZA,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
674,Carbamazepina (Tegretol),GIALLA O VERDE,SÍ,mg/L,PETINIA (TEST IMMUNOLOGICO DI INIBIZIONE TURBIDIMETRICA CON PARTICELLE),Area 'ANALISI',,"€ 12,89"
720,CARBOSSIEMOGLOBINA,VERDE,SÍ,% Hb totale,CO-OSSIMETRIA,Area 'TOSSICOLOGIA',,"€ 8,41"
117,Carcinoma Cellule Squamose (S.C.C. o T.A.4),GIALLA,SÍ,µg/L,IF-TRACE,Area 'SPECIALISTICA',,"€ 55,15"
6F358,CARCIOFO (CYNARA SCOLYMUS),GIALLA,SÍ,kU/L,CHEMILUMINESCENZA,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
8712,CARDIO PGx - Pannello farmacogenetica per farmaci cardiologici - prevede allegato,VIOLA - TAMPONE ROSA,SÍ,/,MASS-ARRAY,Area 'BIOLOGIA MOLECOLARE',,"€ 491,40"
2058,"
CARDIOPANEL EXTENDED - pannello NGS per la diagnosi di Cardiomiopatia - prevede allegato",VIOLA,SÍ,/,SEQUENZIAMENTO MEDIANTE NEXT GENERATION SEQUENCING (NGS),Area 'BIOLOGIA MOLECOLARE',,"€ 1.412,61"
1425,Cariotipo da Liquido Amniotico - compilare modulo SCHEACC024,LIQUIDO AMNIOTICO ,SÍ,,CITOGENETICA,Area 'CITOGENETICA',,"€ 281,20"
,ALFAFETO Proteina SU LIQUIDO AMNIOTICO,,,ng/mL,,,,
,CARIOTIPO DA METAFASI DI LIQUIDO AMNIOTICO,,,,,,,
,COLTURA DA AMNIOTICI,,,,,,,
1428,Cariotipo da Villocentesi - compilare modulo SCHEACC023,VILLI CORIALI,SÍ,manca sul portale,CITOGENETICA,Area 'CITOGENETICA',,"€ 281,20"
,COLTURA DA VILLI CORIALI A BREVE TERMINE,,,,,,,
,CARIOTIPI DA METAFASI SPONTANEE DI VILLI CORIALI,,,,,,,
,COLTURA VILLI CORIALI,,,,,,,
,CARIOTIPI DA METAFASI DI ALTRI TESSUTI,,,,,,,
1507,Cariotipo su materiale abortivo - prevede allegato SCHEACC033,TESSUTO ABORTIVO,SÍ,/,COLTURE IN SOSPENSIONE E BANDEGGIO QFQ,Area 'CITOGENETICA',,"€ 281,20"
9900,Cariotipo su sangue periferico - prevede allegato SCHEACC013,2 VERDE,Sì,/,CITOGENETICA,Area 'CITOGENETICA',,"€ 108,11"
1423,Cariotipo su sangue periferico ad alta risoluzione - prevede allegato SCHEACC013,2 VERDE,Sì,/,MICROSCOPICO,Area 'CITOGENETICA',,"€ 202,46"
6F88,Carne di Agnello,GIALLA,SÍ,kU/L,CHEMILUMINESCENZA,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
6F27,Carne di Bue,GIALLA,SÍ,kU/L,CHEMILUMINESCENZA,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
6F213,Carne di Coniglio,GIALLA,SÍ,kU/L,CHEMILUMINESCENZA,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
6F26,Carne di Maiale,GIALLA,SÍ,kU/L,CHEMILUMINESCENZA,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
6F83,Carne di Pollo,GIALLA,SÍ,kU/L,CHEMILUMINESCENZA,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
6F284,Carne di Tacchino,GIALLA,SÍ,kU/L,CHEMILUMINESCENZA,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
79970,Carnitina (SYNLAB),GIALLA CONG.,SÍ,manca sul portale,LC-MS,Area 'SPECIALISTICA GRUPPO',,"€ 127,55"
6F31,Carota,GIALLA,SÍ,kU/L,CHEMILUMINESCENZA,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
6T209,Carpino bianco (Carpinus betulus),GIALLA,SÍ,kU/L,CHEMILUMINESCENZA,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
6F78,Caseina,GIALLA,SÍ,kU/L,CHEMILUMINESCENZA,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
6F299,Castagna,GIALLA,SÍ,kU/L,CHEMILUMINESCENZA,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
787,Catecolamine frazionate urine 24H,URINE 24 H ACIDIFICATE,SÍ,µg/ 24h,HPLC,Area 'SPECIALISTICA',,"€ 24,90"
6F291,Cavolfiore,GIALLA,SÍ,kU/L,CHEMILUMINESCENZA,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
6F217,Cavolino di Bruxelles,GIALLA,SÍ,kU/L,CHEMILUMINESCENZA,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
6F216,Cavolo,GIALLA,SÍ,kU/L,CHEMILUMINESCENZA,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
1717,CD20+ sangue periferico - compilare SCHEACC039,LILLA,SÍ,/,CITOFLUORIMETRIA,Area 'FENOTIPIZZAZIONE',,"€ 60,62"
1346,CDT-Transferrina Carboidrato Carente (Desialata) HPLC,GIALLA,SÍ,%,HPLC,Area 'TOSSICOLOGIA',,"€ 24,14"
650,CEA (Carcino - Embryonic Antigen),GIALLA,SÍ,µg/L,CHEMILUMINESCENZA,Area 'ANALISI',,"€ 9,61"
6F309,Ceci,GIALLA,SÍ,kU/L,CHEMILUMINESCENZA,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
6T17,Cedro Giapponese (Cryptomeria Japonica),GIALLA,SÍ,kU/L,CHEMILUMINESCENZA,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
140,Ceruloplasmina,GIALLA,SÍ,g/L,IMMUNOTORBIDIMETRIA,Area 'ANALISI',,"€ 7,76"
IN10021,CERVICE - BIOPSIA CERVICE UTERINA,FISSATO IN FORMALINA,SÍ,/,INCLUSIONE IN PARAFFINA E COLORAZIONE CON E-E,Area 'ANATOMIA PATOLOGICA',,"€ 58,28"
IN10022,CERVICE - CONIZZAZIONE/LEEP DELLA CERVICE,FISSATO IN FORMALINA,SÍ,/,INCLUSIONE IN PARAFFINA E COLORAZIONE CON E-E,Area 'ANATOMIA PATOLOGICA',,"€ 173,28"
IN10024,CERVICE - POLIPECTOMIA ENDOCERVICALE,FISSATO IN FORMALINA,SÍ,/,INCLUSIONE IN PARAFFINA E COLORAZIONE CON E-E,Area 'ANATOMIA PATOLOGICA',,"€ 42,82"
IN10261,CERVICE UTERINA - COLORAZIONE,CONTENITORE THIN PREP,SÍ,/,COLORAZIONI IMMUNOCITOCHIMICHE + VALUTAZIONE SEMIQUANTITATIVA,Area 'ANATOMIA PATOLOGICA',,"€ 61,92"
IN10262,"IMMUNOCITOCHIMICA: L1
CERVICE UTERINA - COLORAZIONE",CONTENITORE THIN PREP,SÍ,/,COLORAZIONI IMMUNOCITOCHIMICHE + VALUTAZIONE SEMIQUANTITATIVA,Area 'ANATOMIA PATOLOGICA',,"€ 61,92"
IN10264,"IMMUNOCITOCHIMICA: p16
CERVICE UTERINA - FULLPAP:",CONTENITORE THIN PREP,SÍ,/,COLORAZIONE CON PAPANICOLAOU+HPV-PCR + 2 COLORAZIONI IMMUNOISTOCHIMICHE,Area 'ANATOMIA PATOLOGICA',,"€ 98,28"
IN10266,"MONOSTRATO+HPV+P16-L1
CERVICE UTERINA - NEWPAP - DNA: MONOSTRATO + HPV HIGH RISK",CONTENITORE THIN PREP,SÍ,/,CITOLOGIA + BD ONCLARITY,Area 'ANATOMIA PATOLOGICA',,"€ 84,59"
IN10268,"
CERVICE UTERINA - NEWPAP-RNA: MONOSTR+HPV HIGH RISK",CONTENITORE THIN PREP,SÍ,/,CITOLOGIA + TMA,Area 'ANATOMIA PATOLOGICA',,"€ 84,59"
IN10270,CERVICE UTERINA - PAP TEST MONOSTRATO,CONTENITORE THIN PREP,SÍ,/,COLORAZIONE CON PAPANICOLAU,Area 'ANATOMIA PATOLOGICA',,"€ 29,12"
IN10269,CERVICE UTERINA - PAP TEST SINGOLO VETRINO,STRISCIO FISSATO,SÍ,/,COLORAZIONE CON PAPANICOLAU,Area 'ANATOMIA PATOLOGICA',,"€ 21,84"
IN10301,CERVICE-TRIPAP - Pap test in fase liquida + Ricerca di DNA e mRNA di HPV,CONTENITORE THIN PREP,SÍ,/,CITOLOGIA + REAL TIME PCR,Area 'ANATOMIA PATOLOGICA',,"€ 98,28"
2114,Cerviciti e Uretriti I livello - 4 batteri in molecolare (CHLAMYDIA TRACHOMATIS; NEISSERIA GONORREAE; MYCOPLASMA GENITALIUM; TRICHOMONAS VAGINALIS),TAMPONE CERVICALE - TAMPONE URETRALE - URINE I MITTO - LIQUIDO SEMINALE - TAMPONE VAGINALE,SÍ,/,REAL TIME PCR,Area 'BIOLOGIA MOLECOLARE',,"€ 131,04"
8787,Cerviciti e Uretriti II livello - 3 batteri in molecolare (MYCOPLASMA HOMINIS; UREAPLASMA PARVUM; UREAPLASMA UREALYTICUM),TAMPONE CERVICALE - TAMPONE VAGINALE - TAMPONE URETRALE - URINE - LIQUIDO SEMINALE,SÍ,/,REAL TIME PCR,Area 'BIOLOGIA MOLECOLARE',,"€ 98,80"
6F244,Cetriolo,GIALLA,SÍ,kU/L,CHEMILUMINESCENZA,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
1200,CH 50 (complementemia) (SYNLAB),GIALLA CONG.,SÍ,U/mL,TURBIDIMETRIA ,Area 'SPECIALISTICA GRUPPO',,"€ 25,89"
6F212,Champignon (Funghi),GIALLA,SÍ,kU/L,CHEMILUMINESCENZA,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
404,Chimotripsina Fecale,FECI,SÍ,U/g 37° C,COLORIMETRICO,Area 'SPECIALISTICA',,"€ 20,21"
293,Chinidina (SYNLAB),GIALLA,SÍ,mg/L,LC-MS,Area 'SPECIALISTICA GRUPPO',,"€ 12,13"
6F268,Chiodi garofano,GIALLA,SÍ,kU/L,CHEMILUMINESCENZA,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
Codice Analisi,Descrizione,,,,,Regola,,Importo
6I73,Chironomidi (Chironomus yoshimatsui),GIALLA,SÍ,kU/L,CHEMILUMINESCENZA,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
2270,CHLAMYDIA PNEUMONIAE ANTICORPI IgG e IgM,GIALLA,SÍ,,ELISA,Area 'ANALISI',,"€ 24,00"
,ANTICORPI ANTI-CHLAMYDIA PNEUMONIAE IgG,,,NTU,,,,
,ANTICORPI ANTI-CHLAMYDIA PNEUMONIAE IgM,,,NTU,,,,
2286,"CHLAMYDIA PSITTACI ANTICORPI IgG,IgM e IgA (SYNLAB)",GIALLA,SÍ,,FIA,Area 'SPECIALISTICA GRUPPO',,"€ 60,00"
,ANTICORPI ANTI-CHLAMYDIA PSITTACI IgG,,,TITOLO,,,,
,ANTICORPI ANTI-CHLAMYDIA PSITTACI IgM,,,TITOLO,,,,
,ANTICORPI ANTI-CHLAMYDIA PSITTACI IgA,,,TITOLO,,,,
13180,Chlamydia psittaci IgG (SYNLAB),GIALLA,SÍ,TITOLO,FIA,Area 'SPECIALISTICA GRUPPO',,"€ 27,52"
13182,Chlamydia psittaci IgM (SYNLAB),GIALLA,SÍ,TITOLO,FIA,Area 'SPECIALISTICA GRUPPO',,"€ 27,52"
2271,CHLAMYDIA TRACHOMATIS ANTICORPI IgG e IgM,GIALLA,SÍ,,ELISA,Area 'ANALISI',,"€ 24,00"
,ANTICORPI ANTI-CHLAMYDIA TRACHOMATIS IgG,,,NTU,,,,
,ANTICORPI ANTI-CHLAMYDIA TRACHOMATIS IgM,,,NTU,,,,
60011,CHLAMYDIA TRACHOMATIS DNA SU TAMPONE CONGIUNTIVALE,TAMPONE CONGIUNTIVALE DESTRO - TAMPONE CONGIUNTIVALE SINISTRO (T. ROSA),SÍ,manca sul portale,REAL TIME PCR,Area 'BIOLOGIA MOLECOLARE',,"€ 38,22"
694,Ciclosporina (CSA),VIOLA,SÍ,µg/L,CHEMILUMINESCENZA,Area 'SPECIALISTICA',,"€ 17,47"
6F242,Ciliegia,GIALLA,SÍ,kU/L,CHEMILUMINESCENZA,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
6F105,Cioccolato,GIALLA,SÍ,kU/L,CHEMILUMINESCENZA,Area 'ALLERGIE E INTOLLERANZE',,"€ 11,79"
